,s,t,syn,phon,morph,lex,LM,S_s,S_t
48,ara,rus,0.48148148148148145,0.6923076923076923,0.05263157894736842,0.2932031297749456,0.0742537669678453,0.7799369890856496,0.6394526977147073
49,ben,rus,0.35,0.8888888888888888,0.02631578947368421,0.31450953144856314,0.0742537669678453,0.679621656612807,0.4755623860191942
50,eng,rus,0.7027027027027027,0.8181818181818182,0.5384615384615384,0.2552278640267641,0.0742537669678453,0.683939061733871,0.6236788209027855
51,fin,rus,0.7297297297297297,0.8181818181818182,0.5897435897435898,0.25057038264944664,0.0742537669678453,0.7644417024891962,0.5888244845767001
52,ind,rus,0.5,0.8181818181818182,0.23076923076923078,0.2651030120076561,0.0742537669678453,0.8044051176907978,0.6212386734186481
53,kor,rus,0.5238095238095238,0.5454545454545454,0.47368421052631576,0.3080044174196978,0.0742537669678453,0.5859059936685502,0.42246348803694
54,swh,rus,0.3111111111111111,0.6666666666666666,0.42105263157894735,0.3265771599001224,0.0742537669678453,0.7567256575916822,0.41925377376095513
55,tel,rus,0.3548387096774194,0.8888888888888888,0.10256410256410256,0.3244720580190726,0.0742537669678453,0.7313368806325812,0.5243836750762362
56,ara,swh,0.5581395348837209,0.5,0.02702702702702703,0.353414301441441,0.07753908141716874,0.7799369890856496,0.5271110848928147
57,ben,swh,0.25,0.7,0.02702702702702703,0.3157254374089421,0.07753908141716874,0.679621656612807,0.5760580385863406
58,eng,swh,0.26666666666666666,0.8333333333333334,0.4358974358974359,0.3006825581158139,0.07753908141716874,0.683939061733871,0.547212973811529
59,fin,swh,0.26666666666666666,0.6923076923076923,0.38461538461538464,0.31717597146596,0.07753908141716874,0.7644417024891962,0.5759195210005837
60,ind,swh,0.3684210526315789,0.8333333333333334,0.358974358974359,0.31013823152191183,0.07753908141716874,0.8044051176907978,0.5886307833664312
61,kor,swh,0.11764705882352941,0.46153846153846156,0.2631578947368421,0.29825464027020343,0.07753908141716874,0.5859059936685502,0.5353451475422184
62,rus,swh,0.3111111111111111,0.6666666666666666,0.42105263157894735,0.3265771599001224,0.07753908141716874,0.7622946829498839,0.5499751827892871
63,tel,swh,0.12903225806451613,0.7,0.07894736842105263,0.3517644294383578,0.07753908141716874,0.7313368806325812,0.553513834078571
64,ara,tel,0.2682926829268293,0.6153846153846154,0.2,0.3501339457552749,0.04839375973856528,0.7799369890856496,0.2641949390938224
65,ben,tel,0.46153846153846156,1.0,0.16666666666666666,0.33630239842400833,0.04839375973856528,0.679621656612807,0.37494047792365137
66,eng,tel,0.3333333333333333,0.8,0.1282051282051282,0.30379245608848604,0.04839375973856528,0.683939061733871,0.4095007942166691
67,fin,tel,0.4666666666666667,0.8,0.20512820512820512,0.31850245154606077,0.04839375973856528,0.7644417024891962,0.34562689357528936
68,ind,tel,0.21212121212121213,0.8888888888888888,0.1282051282051282,0.3124071373523791,0.04839375973856528,0.8044051176907978,0.3583143500988398
69,kor,tel,0.72,0.6666666666666666,0.17142857142857143,0.33510280993379216,0.04839375973856528,0.5859059936685502,0.3479364310408058
70,rus,tel,0.3548387096774194,0.8888888888888888,0.10256410256410256,0.3244720580190726,0.04839375973856528,0.7622946829498839,0.4220423045936954
71,swh,tel,0.12903225806451613,0.7,0.07894736842105263,0.3517644294383578,0.04839375973856528,0.7567256575916822,0.378932945942358
