,s,t,syn,phon,morph,lex,LM,S_s,S_t
51,kor,rus,0.5238095238095238,0.5454545454545454,0.47368421052631576,0.0,0.10969137295635965,0.04105909439754413,0.5678794518988602
52,kor,swh,0.11764705882352941,0.46153846153846156,0.2631578947368421,0.0,0.15867356034943841,0.04105909439754413,0.1492244606881797
53,kor,tel,0.72,0.6666666666666666,0.17142857142857143,0.0,0.04504950495049505,0.04105909439754413,0.7094059405940594
54,rus,ara,0.48148148148148145,0.6923076923076923,0.05263157894736842,0.0,0.11090199250283865,0.08979922878811594,0.042634272293167005
55,rus,ben,0.35,0.8888888888888888,0.02631578947368421,0.013625399579372593,0.09470304975922954,0.08979922878811594,0.4666360926393029
56,rus,eng,0.7027027027027027,0.8181818181818182,0.5384615384615384,0.0,0.10596503427038839,0.08979922878811594,0.5296140856263037
57,rus,fin,0.7297297297297297,0.8181818181818182,0.5897435897435898,0.0,0.11329854711697264,0.08979922878811594,0.027848919313530722
58,rus,ind,0.5,0.8181818181818182,0.23076923076923078,0.010319665286124633,0.07804499862710577,0.08979922878811594,0.42537108523250367
59,rus,kor,0.5238095238095238,0.5454545454545454,0.47368421052631576,0.0,0.2486693238927537,0.08979922878811594,0.6341321516104276
61,rus,swh,0.3111111111111111,0.6666666666666666,0.42105263157894735,0.0,0.15867356034943841,0.08979922878811594,0.12301658049563202
62,rus,tel,0.3548387096774194,0.8888888888888888,0.10256410256410256,0.0,0.04504950495049505,0.08979922878811594,0.02858910891089109
63,swh,ara,0.5581395348837209,0.5,0.02702702702702703,0.0,0.11090199250283865,0.16455696202531644,0.33031061890466784
64,swh,ben,0.25,0.7,0.02702702702702703,0.02053937704129774,0.09470304975922954,0.16455696202531644,0.13620729190552625
65,swh,eng,0.26666666666666666,0.8333333333333334,0.4358974358974359,0.0,0.10596503427038839,0.16455696202531644,0.061848117611999605
66,swh,fin,0.26666666666666666,0.6923076923076923,0.38461538461538464,0.0,0.11329854711697264,0.16455696202531644,0.6128078699825271
67,swh,ind,0.3684210526315789,0.8333333333333334,0.358974358974359,0.014510604362346158,0.07804499862710577,0.16455696202531644,0.0375688466073361
68,swh,kor,0.11764705882352941,0.46153846153846156,0.2631578947368421,0.0,0.2486693238927537,0.16455696202531644,0.055566558562127104
69,swh,rus,0.3111111111111111,0.6666666666666666,0.42105263157894735,0.0,0.10969137295635965,0.16455696202531644,0.5008608545938331
71,swh,tel,0.12903225806451613,0.7,0.07894736842105263,0.0,0.04504950495049505,0.16455696202531644,0.6306930693069307
72,tel,ara,0.2682926829268293,0.6153846153846154,0.2,0.0,0.11090199250283865,0.042450495049504954,0.142710488248744
73,tel,ben,0.46153846153846156,1.0,0.16666666666666666,0.02053937704129774,0.09470304975922954,0.042450495049504954,0.09584957578537033
74,tel,eng,0.3333333333333333,0.8,0.1282051282051282,0.0,0.10596503427038839,0.042450495049504954,0.5075618357008046
75,tel,fin,0.4666666666666667,0.8,0.20512820512820512,0.0,0.11329854711697264,0.042450495049504954,0.06658847746475502
76,tel,ind,0.21212121212121213,0.8888888888888888,0.1282051282051282,0.014510604362346158,0.07804499862710577,0.042450495049504954,0.4510199796488621
77,tel,kor,0.72,0.6666666666666666,0.17142857142857143,0.0,0.2486693238927537,0.042450495049504954,0.6729136236476617
78,tel,rus,0.3548387096774194,0.8888888888888888,0.10256410256410256,0.0,0.10969137295635965,0.042450495049504954,0.05024260447644389
79,tel,swh,0.12903225806451613,0.7,0.07894736842105263,0.0,0.15867356034943841,0.042450495049504954,0.0631128543412373
